#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.205	360	13.230	471
13.255	372	13.281	489
13.307	387	13.331	507
13.357	402	13.382	527
13.408	419	13.433	544
13.458	434	13.484	560
13.509	447	13.534	573
13.560	460	13.585	583
13.611	469	13.635	589
13.661	476	13.687	591
13.712	480	13.737	589
13.762	480	13.788	584
13.814	476	13.838	574
13.864	469	13.889	561
13.915	458	13.939	545
13.965	446	13.991	528
14.016	433	14.042	510
14.066	416	14.092	492
14.118	400	14.143	475
14.168	385	14.193	460
14.219	371	14.245	447
14.269	358	14.295	438
14.320	349	14.346	433
14.371	343	14.396	431
14.422	340	14.447	432
14.472	339	14.498	438
14.523	344	14.549	448
14.573	351	14.599	461
14.625	361	14.650	477
14.675	374	14.700	493
14.726	388	14.752	512
14.776	403	14.802	530
14.827	419	14.853	545
14.877	434	14.903	560
14.929	449	14.954	572
14.979	461	15.004	580
15.030	470	15.056	587
15.080	476	15.106	587
15.131	479	15.157	584
15.182	479	15.207	578
15.233	476	15.258	568
15.283	468	15.309	555
15.334	457	15.360	541
15.384	445	15.410	524
15.436	431	15.461	507
15.486	415	15.511	490
15.537	399	15.563	474
15.587	384	15.613	461
15.638	371	15.664	448
15.688	358	15.714	442
15.740	349	15.765	436
15.790	342	15.815	436
15.841	340	15.867	437
15.891	340	15.917	445
15.942	344	15.968	454
15.993	353	16.018	467
16.044	361	16.069	482
16.094	376	16.120	497
16.145	390	16.171	514
16.195	405	16.221	531
16.247	421	16.272	547
16.297	436	16.322	560
16.348	450	16.374	571
16.398	463	16.424	577
16.449	471	16.475	581
16.499	478	16.525	580
16.551	480	16.576	579
16.601	479	16.626	573
16.652	475	16.678	563
16.702	467	16.728	551
16.753	457	16.779	536
16.804	444	16.829	520
16.855	429	16.880	504
16.905	412	16.931	488
16.956	398	16.982	472
17.006	382	17.032	461
17.058	368	17.083	451
17.108	356	17.133	445
17.159	348	17.185	441
17.209	343	17.235	440
17.260	340	17.286	444
17.310	340	17.336	449
17.362	345	17.387	459
17.412	354	17.437	472
17.463	364	17.489	486
17.513	378	17.539	501
17.564	392	17.590	517
17.615	408	17.640	532
17.666	424	17.691	546
17.717	438	17.742	558
17.767	452	17.793	568
17.818	464	17.843	575
17.869	472	17.894	578
17.920	478	17.944	578
17.970	480	17.996	574
18.021	479	18.046	568
18.071	474	18.097	559
18.123	465	18.147	547
18.173	455	18.198	532
18.224	441	18.248	519
18.274	427	18.300	502
18.325	411	18.350	488
18.375	395	18.401	474
18.427	380	18.451	461
18.477	366	18.502	453
18.528	355	18.553	448
18.578	347	18.604	444
18.629	341	18.654	445
18.680	338	18.705	448
18.731	340	18.755	455
18.781	346	18.807	464
18.832	355	18.857	476
18.882	365	18.908	489
18.934	381	18.958	503
18.984	393	19.009	518
19.035	409	19.059	531
19.085	426	19.111	546
19.136	442	19.161	557
19.186	454	19.212	565
19.238	465	19.262	571
19.288	474	19.313	574
19.339	479	19.364	574
19.389	480	19.415	569
19.440	478	19.465	563
19.491	472	19.516	554
19.542	464	19.566	543
19.592	454	19.618	529
19.643	439	19.668	516
19.693	424	19.719	502
19.745	408	19.769	489
19.795	393	19.820	476
19.846	378	19.870	465
19.896	364	19.922	456
19.947	353	19.972	451
19.997	346	20.023	449
20.049	341	20.073	448
20.099	340	20.124	452
20.150	342	20.175	457
20.200	348	20.226	467
20.251	357	20.276	479
20.302	368	20.327	492
20.353	382	20.377	506
20.403	397	20.429	519
20.454	413	20.479	532
20.504	429	20.530	543
20.556	443	20.580	554
20.606	456	20.631	561
20.657	466	20.681	568
20.707	474	20.733	571
20.758	479	20.784	569
20.808	481	20.834	567
20.860	477	20.885	559
20.910	471	20.935	551
20.961	462	20.987	540
21.011	450	21.037	527
21.062	436	21.088	515
21.113	420	21.138	501
21.164	405	21.189	488
21.214	390	21.240	477
21.265	375	21.291	468
21.315	363	21.341	459
21.367	352	21.392	455
21.417	345	21.442	452
21.468	340	21.494	453
21.518	339	21.544	456
21.569	344	21.595	462
21.619	350	21.645	471
21.671	359	21.696	480
21.721	371	21.746	493
21.772	386	21.798	506
21.822	400	21.848	519
21.873	417	21.899	530
21.924	432	21.949	542
21.975	447	22.000	551
22.025	459	22.051	559
22.076	468	22.102	565
22.126	475	22.152	566
22.178	479	22.203	565
22.228	478	22.253	561
22.279	475	22.305	556
22.329	468	22.355	548
22.380	459	22.406	537
22.430	446	22.456	526
22.482	432	22.507	514
22.532	416	22.557	502
22.583	402	22.609	490
22.633	386	22.659	479
22.684	372	22.710	470
22.735	361	22.760	463
22.786	350	22.811	458
22.836	345	22.862	456
22.887	342	22.913	456
22.937	341	22.963	459
22.989	346	23.014	465
23.039	353	23.064	473
23.090	363	23.116	482
23.140	375	23.166	494
23.191	389	23.217	506
23.241	403	23.267	518
23.293	420	23.318	530
23.343	435	23.368	540
23.394	448	23.420	550
23.444	460	23.470	556
23.495	470	23.521	560
23.546	475	23.571	562
23.597	476	23.622	562
23.647	477	23.673	559
23.698	473	23.724	555
23.748	466	23.774	545
23.800	455	23.825	536
23.850	442	23.875	525
23.901	427	23.927	514
23.951	414	23.977	502
24.002	398	24.028	491
24.053	383	24.078	481
24.104	369	24.129	472
24.154	358	24.179	466
24.205	350	24.231	461
24.255	344	24.281	459
24.306	344	24.332	458
24.357	344	24.382	462
24.408	348	24.433	468
24.458	356	24.484	476
24.509	367	24.535	484
24.559	379	24.585	495
24.611	394	24.636	506
24.661	409	24.686	517
24.712	422	24.738	529
24.762	438	24.788	538
24.813	449	24.839	547
24.864	462	24.889	554
24.915	470	24.940	558
24.965	475	24.990	559
25.016	477	25.042	560
25.066	475	25.092	557
25.117	468	25.143	552
25.168	461	25.193	544
25.219	451	25.244	535
25.270	438	25.295	525
25.320	423	25.346	515
25.371	409	25.396	503
25.422	395	25.447	492
25.473	380	25.497	482
25.523	367	25.549	474
25.574	358	25.599	468
25.624	350	25.650	464
25.676	345	25.700	461
25.726	344	25.751	460
25.777	346	25.801	464
25.827	352	25.853	469
25.878	360	25.903	476
25.928	371	25.954	485
25.980	384	26.004	495
26.030	398	26.055	505
26.081	412	26.106	517
26.131	428	26.157	527
26.182	442	26.207	537
26.233	452	26.258	545
26.284	463	26.308	551
26.334	470	26.360	556
26.385	474	26.410	557
26.435	475	26.461	556
26.487	473	26.511	555
26.537	466	26.562	550
26.588	458	26.613	543
26.638	447	26.664	534
26.689	433	26.714	525
26.739	420	26.765	514
26.791	405	26.815	502
26.841	391	26.866	493
26.892	378	26.917	483
26.942	366	26.968	476
26.993	357	27.018	471
27.044	351	27.069	465
27.095	347	27.119	463
27.145	346	27.171	463
27.196	349	27.221	466
27.246	356	27.272	470
27.298	365	27.322	478
27.348	375	27.373	487
27.399	389	27.424	495
27.449	402	27.475	506
27.500	417	27.525	516
27.550	430	27.576	526
27.602	443	27.626	535
27.652	454	27.677	544
27.703	463	27.728	549
27.753	469	27.779	554
27.804	472	27.829	557
27.855	472	27.880	556
27.906	469	27.930	553
27.956	462	27.982	548
28.007	452	28.032	542
28.057	442	28.083	533
28.109	429	28.133	525
28.159	415	28.184	514
28.210	401	28.235	504
28.260	388	28.286	494
28.311	376	28.337	486
28.361	366	28.387	478
28.413	357	28.438	472
28.463	352	28.488	467
28.514	349	28.540	463
28.564	350	28.590	466
28.615	353	28.641	468
28.666	361	28.691	472
28.717	369	28.742	478
28.767	380	28.793	486
28.818	393	28.844	496
28.868	406	28.894	505
28.920	420	28.945	515
28.970	433	28.995	526
29.021	444	29.047	535
29.071	455	29.097	542
29.122	462	29.148	549
29.173	467	29.198	553
29.224	470	29.249	556
29.274	468	29.299	556
29.325	465	29.351	553
29.375	459	29.401	548
29.426	448	29.452	542
29.477	438	29.502	534
29.528	425	29.553	524
29.578	411	29.604	513
29.629	399	29.655	505
29.679	385	29.705	495
29.731	373	29.756	486
29.781	365	29.806	478
29.832	358	29.858	471
29.882	353	29.908	468
29.933	352	29.959	466
29.984	352	30.009	466
30.035	358	30.060	468
30.085	365	30.110	473
30.136	374	30.162	478
30.186	385	30.212	487
30.237	397	30.263	494
30.288	410	30.313	505
30.339	423	30.364	515
30.389	434	30.415	525
30.440	446	30.466	534
30.490	454	30.516	542
30.542	460	30.567	549
30.592	465	30.617	551
30.643	466	30.669	554
30.693	465	30.719	554
30.744	460	30.770	552
30.795	454	30.820	547
30.846	445	30.871	542
30.896	433	30.921	534
30.947	420	30.973	524
30.997	408	31.023	513
31.048	396	31.074	505
31.099	384	31.124	495
31.150	374	31.175	486
31.200	366	31.226	478
31.251	359	31.277	471
31.301	355	31.327	468
31.353	355	31.378	466
31.403	355	31.428	467
31.454	362	31.480	468
31.504	369	31.530	472
31.555	379	31.581	479
31.606	389	31.631	487
31.657	402	31.682	496
31.707	413	31.733	506
31.758	426	31.784	515
31.808	436	31.834	525
31.859	447	31.885	535
31.910	456	31.935	543
31.961	460	31.986	548
32.012	464	32.037	553
32.062	463	32.088	554
32.113	461	32.138	554
32.164	456	32.189	550
32.215	447	32.239	547
32.265	438	32.291	542
32.316	429	32.341	533
32.366	417	32.392	523
32.418	404	32.442	515
32.468	393	32.493	503
32.519	382	32.544	494
32.569	373	32.595	485
32.620	365	32.645	478
32.670	361	32.696	471
32.722	357	32.746	468
32.772	357	32.797	467
32.823	362	32.848	465
32.873	367	32.899	469
32.924	373	32.949	475
32.975	383	33.000	480
33.026	393	33.050	487
33.076	404	33.102	497
33.127	415	33.152	507
33.177	427	33.203	516
33.229	437	33.253	527
33.279	446	33.304	536
33.330	453	33.355	541
33.380	458	33.406	549
33.431	460	33.456	552
33.481	460	33.507	554
33.533	457	33.557	553
33.583	452	33.608	551
33.634	444	33.659	546
33.684	436	33.710	541
33.735	426	33.760	532
