#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.206	462	13.230	470
13.256	447	13.281	487
13.307	427	13.331	507
13.357	406	13.383	527
13.408	388	13.433	546
13.458	367	13.484	564
13.510	350	13.534	580
13.560	334	13.585	591
13.611	324	13.636	599
13.661	316	13.687	604
13.712	317	13.737	603
13.763	320	13.788	599
13.814	328	13.838	588
13.864	340	13.890	576
13.915	355	13.940	560
13.965	373	13.991	541
14.017	393	14.041	521
14.067	412	14.092	502
14.118	432	14.142	482
14.168	451	14.194	466
14.219	466	14.245	452
14.269	478	14.295	441
14.321	485	14.346	435
14.371	489	14.396	434
14.422	487	14.448	437
14.472	482	14.498	444
14.523	472	14.549	457
14.574	457	14.599	472
14.625	441	14.650	489
14.675	423	14.701	509
14.726	403	14.752	528
14.776	382	14.802	548
14.828	364	14.853	566
14.878	348	14.903	580
14.929	335	14.955	592
14.979	323	15.005	599
15.030	320	15.056	602
15.080	318	15.106	600
15.132	322	15.157	595
15.182	331	15.207	585
15.233	343	15.259	572
15.283	359	15.309	555
15.334	378	15.360	537
15.385	397	15.410	519
15.436	416	15.461	498
15.486	436	15.512	480
15.537	452	15.563	464
15.587	468	15.613	452
15.639	477	15.664	443
15.689	486	15.714	437
15.740	487	15.766	436
15.790	485	15.816	440
15.841	478	15.867	448
15.891	468	15.917	460
15.943	453	15.968	476
15.993	437	16.018	493
16.044	418	16.070	511
16.094	399	16.120	531
16.145	380	16.171	549
16.196	362	16.221	566
16.247	346	16.272	581
16.297	335	16.323	591
16.348	326	16.374	598
16.398	320	16.424	600
16.450	321	16.475	598
16.500	326	16.525	593
16.551	336	16.577	580
16.601	348	16.627	568
16.652	362	16.678	553
16.702	382	16.728	534
16.754	401	16.779	516
16.804	420	16.829	496
16.855	438	16.881	480
16.905	455	16.931	464
16.956	470	16.982	452
17.007	478	17.032	444
17.058	483	17.083	439
17.108	486	17.134	440
17.159	483	17.185	444
17.209	475	17.235	452
17.261	465	17.286	464
17.311	450	17.336	479
17.362	433	17.388	497
17.412	414	17.438	514
17.463	396	17.489	533
17.514	377	17.539	551
17.565	360	17.590	567
17.615	345	17.640	580
17.666	332	17.692	590
17.716	325	17.742	595
17.767	323	17.793	597
17.818	322	17.843	594
17.869	328	17.894	587
17.919	338	17.945	577
17.970	352	17.996	564
18.020	368	18.046	548
18.072	386	18.097	532
18.122	405	18.147	514
18.173	424	18.199	495
18.223	442	18.249	479
18.274	458	18.300	464
18.325	470	18.350	453
18.376	477	18.401	445
18.426	483	18.451	443
18.477	484	18.503	443
18.527	480	18.553	447
18.578	472	18.604	456
18.629	460	18.654	468
18.680	446	18.705	483
18.731	429	18.756	499
18.781	411	18.807	519
18.832	392	18.857	535
18.883	374	18.908	552
18.934	357	18.958	567
18.984	344	19.010	580
19.035	332	19.060	589
19.085	327	19.111	593
19.137	324	19.161	595
19.187	326	19.212	591
19.238	331	19.262	584
19.288	341	19.314	573
19.339	354	19.364	560
19.389	370	19.415	545
19.441	389	19.465	528
19.491	408	19.516	510
19.542	426	19.567	493
19.592	444	19.618	477
19.643	458	19.668	463
19.694	469	19.719	454
19.745	479	19.769	447
19.795	483	19.821	445
19.846	482	19.871	446
19.896	479	19.922	452
19.948	470	19.972	460
19.998	458	20.023	472
20.049	444	20.074	487
20.099	426	20.125	503
20.150	407	20.175	520
20.200	389	20.226	538
20.252	372	20.276	552
20.302	355	20.327	568
20.353	343	20.378	579
