#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.204	448	13.230	487
13.255	447	13.281	510
13.306	447	13.331	533
13.357	448	13.382	552
13.407	448	13.433	567
13.458	447	13.484	576
13.508	448	13.534	584
13.560	447	13.585	584
13.610	448	13.635	580
13.661	447	13.687	571
13.711	448	13.737	556
13.762	448	13.788	538
13.813	449	13.838	518
13.864	448	13.889	496
13.914	448	13.940	471
13.965	448	13.991	448
14.015	448	14.041	428
14.066	447	14.092	409
14.117	448	14.142	392
14.168	448	14.193	383
14.218	448	14.244	377
14.269	447	14.295	376
14.319	447	14.345	381
14.371	449	14.396	390
14.421	446	14.446	405
14.472	448	14.498	422
14.522	448	14.548	443
14.573	447	14.599	466
14.624	448	14.649	489
14.675	448	14.700	510
14.725	447	14.751	533
14.776	448	14.802	550
14.826	448	14.852	565
14.877	448	14.903	576
14.928	448	14.953	581
14.979	448	15.004	582
15.029	449	15.055	577
15.080	448	15.106	566
15.130	449	15.156	553
15.182	447	15.207	535
15.232	449	15.257	515
15.283	447	15.309	493
15.333	448	15.359	469
15.384	447	15.410	448
15.435	448	15.460	426
15.486	448	15.511	408
15.536	448	15.562	394
15.587	447	15.613	384
15.637	447	15.663	379
15.689	448	15.714	380
15.739	446	15.764	384
15.790	447	15.815	394
15.840	447	15.866	409
15.891	448	15.917	426
15.941	448	15.967	447
15.993	447	16.018	468
16.043	447	16.068	491
16.094	447	16.120	512
16.144	448	16.170	533
16.195	447	16.221	550
16.246	448	16.271	564
16.297	446	16.322	574
16.347	447	16.373	579
16.398	447	16.424	578
16.448	449	16.474	573
16.500	448	16.525	563
16.550	449	16.575	550
16.601	448	16.626	532
16.651	447	16.677	512
16.702	448	16.728	490
16.752	448	16.778	467
16.804	449	16.829	445
16.854	448	16.879	426
16.905	448	16.931	408
16.955	448	16.981	396
17.006	448	17.032	388
17.057	446	17.082	381
17.108	447	17.133	383
17.158	448	17.184	388
17.209	446	17.235	398
17.259	447	17.285	412
17.311	448	17.336	430
17.361	448	17.386	450
17.412	447	17.437	471
17.462	447	17.488	494
17.513	448	17.539	514
17.563	446	17.589	534
17.615	448	17.640	551
17.665	448	17.690	564
17.716	447	17.742	572
17.766	448	17.792	576
17.817	448	17.843	575
17.868	449	17.893	569
17.919	448	17.944	560
17.969	449	17.995	545
18.020	448	18.046	528
18.070	447	18.096	507
18.122	448	18.147	487
18.172	448	18.197	465
18.223	448	18.249	445
18.273	448	18.299	425
18.324	448	18.350	409
18.374	447	18.400	397
18.426	448	18.451	388
18.476	447	18.501	385
18.527	447	18.553	385
18.577	447	18.603	392
18.628	447	18.654	401
18.679	447	18.704	416
18.730	447	18.755	434
18.780	448	18.806	453
18.831	447	18.857	475
18.881	447	18.907	495
18.933	447	18.958	516
18.983	447	19.008	535
19.034	449	19.060	551
19.084	449	19.110	563
19.135	448	19.161	571
19.185	450	19.211	574
19.237	449	19.262	573
19.287	449	19.312	566
19.338	448	19.364	557
19.388	448	19.414	542
19.439	448	19.465	524
19.490	448	19.515	505
19.541	448	19.566	484
19.591	447	19.617	464
19.642	447	19.668	443
19.692	447	19.718	425
19.744	448	19.769	410
19.794	447	19.819	398
19.845	448	19.871	391
