#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.206	446	13.231	378
13.256	447	13.282	381
13.307	447	13.333	389
13.357	445	13.383	401
13.409	446	13.434	417
13.459	446	13.484	437
13.510	446	13.536	459
13.560	446	13.586	483
13.611	446	13.637	505
13.662	446	13.687	528
13.713	446	13.738	546
13.763	447	13.789	563
13.814	447	13.840	575
13.864	447	13.890	583
13.916	448	13.941	586
13.966	447	13.991	582
14.017	446	14.043	575
14.067	447	14.093	563
14.118	447	14.144	547
14.169	447	14.194	528
14.220	447	14.245	507
14.270	447	14.295	485
14.321	447	14.347	461
14.371	447	14.397	438
14.422	446	14.448	420
14.473	446	14.498	405
14.524	446	14.549	393
14.574	446	14.600	386
14.625	446	14.651	383
14.675	447	14.701	386
14.727	446	14.752	394
14.777	447	14.802	406
14.828	446	14.854	421
14.878	446	14.904	441
14.929	446	14.955	461
14.980	447	15.005	484
15.031	447	15.056	505
15.081	446	15.106	526
15.132	447	15.158	545
15.182	447	15.208	560
15.233	446	15.259	573
15.284	447	15.309	579
15.335	445	15.360	580
15.385	447	15.411	577
15.436	448	15.462	570
15.486	447	15.512	560
15.538	446	15.563	544
15.588	446	15.613	525
15.639	446	15.665	505
15.689	447	15.715	483
15.740	447	15.766	462
15.791	446	15.816	440
15.842	446	15.867	423
15.892	446	15.917	408
15.943	445	15.969	398
15.993	446	16.019	390
16.044	446	16.070	388
16.095	445	16.120	391
16.146	447	16.171	399
16.196	447	16.222	410
16.247	446	16.273	426
16.297	445	16.323	445
16.349	446	16.374	464
16.399	448	16.424	487
16.450	447	16.476	507
16.500	447	16.526	527
16.551	447	16.577	544
16.602	446	16.627	558
16.653	446	16.678	568
16.703	446	16.729	574
16.754	447	16.780	576
16.804	447	16.830	574
16.855	447	16.881	567
16.906	446	16.931	555
16.957	447	16.982	541
17.008	446	17.033	521
17.058	447	17.084	502
17.109	446	17.134	481
17.160	447	17.185	462
17.211	446	17.235	442
17.261	448	17.287	425
17.312	447	17.337	411
17.362	446	17.388	400
17.414	445	17.438	394
17.464	446	17.489	393
17.515	446	17.540	395
17.565	447	17.591	402
17.616	447	17.641	415
17.666	447	17.692	430
17.718	446	17.742	447
17.768	447	17.793	465
17.819	448	17.844	487
17.869	446	17.895	506
17.920	447	17.945	525
17.971	446	17.996	541
18.022	447	18.046	556
18.072	447	18.098	567
18.123	447	18.148	572
18.173	446	18.199	573
18.225	447	18.249	570
18.275	447	18.300	563
18.326	447	18.351	551
18.376	446	18.402	538
18.427	446	18.452	520
18.477	447	18.503	501
18.529	446	18.553	481
18.579	446	18.604	462
18.630	446	18.655	443
18.680	446	18.706	426
18.731	447	18.756	413
18.782	447	18.807	404
18.833	445	18.857	399
18.883	445	18.909	397
18.934	446	18.959	400
18.984	448	19.010	408
19.036	446	19.060	419
19.086	447	19.111	433
19.137	447	19.162	450
19.187	446	19.213	468
19.238	447	19.263	488
19.289	447	19.314	507
19.340	447	19.364	525
19.390	446	19.415	541
19.441	447	19.466	553
19.491	447	19.517	564
19.542	447	19.567	568
19.593	447	19.618	570
19.644	446	19.668	567
19.694	446	19.720	558
19.745	447	19.770	548
19.795	447	19.821	535
19.847	447	19.871	517
19.897	447	19.922	499
19.948	446	19.973	480
19.998	447	20.024	462
20.049	447	20.075	444
20.100	447	20.125	429
20.151	446	20.176	416
20.201	447	20.226	408
20.252	446	20.278	402
20.302	447	20.328	401
20.353	446	20.379	404
20.404	446	20.429	411
20.455	447	20.480	422
20.505	446	20.531	436
20.556	447	20.582	452
20.606	446	20.632	470
20.658	448	20.683	488
20.708	447	20.733	507
20.759	447	20.785	524
20.809	447	20.835	539
20.860	447	20.886	551
20.911	447	20.936	560
20.962	447	20.987	565
21.012	448	21.037	566
21.063	446	21.089	563
21.113	447	21.139	556
21.164	447	21.190	544
21.215	447	21.240	532
21.266	447	21.291	516
21.316	447	21.342	497
21.367	447	21.393	479
21.417	446	21.443	462
21.469	447	21.494	446
21.519	447	21.544	431
21.570	446	21.596	418
21.620	446	21.646	409
21.671	446	21.697	405
21.722	447	21.747	405
21.773	446	21.798	408
21.823	447	21.849	414
21.874	447	21.900	425
21.924	447	21.950	438
21.975	447	22.001	456
22.026	446	22.051	472
22.077	447	22.102	489
22.127	446	22.153	507
22.178	448	22.204	522
22.228	446	22.254	538
22.280	447	22.305	549
22.330	445	22.355	557
22.381	448	22.407	562
22.431	446	22.457	562
22.482	448	22.508	561
22.533	446	22.558	552
22.584	445	22.609	542
22.634	447	22.660	529
22.685	447	22.711	514
22.735	446	22.761	497
22.786	446	22.812	479
22.837	446	22.862	463
22.888	448	22.913	446
22.938	447	22.964	432
22.989	446	23.015	420
23.039	447	23.065	414
23.091	446	23.116	409
23.141	445	23.166	407
23.192	446	23.218	411
23.242	446	23.268	419
23.293	446	23.319	429
23.344	446	23.369	442
23.395	446	23.420	456
23.445	446	23.471	473
23.496	447	23.522	491
23.546	446	23.572	506
23.597	447	23.623	523
23.648	447	23.673	536
23.699	447	23.724	547
23.749	447	23.775	555
23.800	447	23.826	558
23.850	447	23.876	558
23.902	447	23.927	556
23.952	446	23.977	550
24.003	446	24.029	539
24.053	446	24.079	527
24.104	447	24.130	511
24.155	447	24.180	495
24.206	447	24.231	479
24.256	447	24.282	462
24.307	446	24.333	448
24.357	446	24.383	433
24.409	446	24.434	423
24.459	446	24.484	415
24.510	446	24.535	412
24.560	447	24.586	413
24.611	447	24.637	416
24.661	447	24.687	422
24.713	447	24.738	433
24.763	447	24.788	445
24.814	447	24.840	460
24.864	445	24.890	475
24.915	448	24.941	491
24.966	448	24.991	507
25.017	447	25.042	521
25.067	447	25.093	535
25.118	447	25.144	545
25.168	447	25.194	552
25.220	447	25.245	554
25.270	447	25.295	556
25.321	447	25.346	552
25.371	446	25.397	547
25.422	447	25.448	536
25.472	447	25.498	524
25.524	447	25.549	510
25.574	447	25.599	494
25.625	447	25.651	477
25.675	447	25.701	463
25.726	447	25.752	448
25.777	447	25.802	436
25.828	447	25.853	426
25.878	446	25.904	418
25.929	447	25.955	416
25.979	445	26.005	414
26.031	446	26.056	419
26.081	447	26.106	426
26.132	447	26.157	435
26.182	446	26.208	447
26.233	447	26.259	461
26.283	447	26.309	476
26.335	447	26.360	492
26.385	446	26.410	506
26.436	447	26.462	521
26.486	447	26.512	533
26.537	447	26.563	543
26.588	447	26.613	549
26.639	447	26.664	553
26.689	447	26.715	553
26.740	446	26.766	549
26.790	447	26.816	544
26.842	447	26.867	534
26.892	446	26.917	521
26.943	447	26.969	508
26.993	447	27.019	493
27.044	446	27.070	477
27.094	446	27.120	463
27.146	446	27.171	449
27.196	447	27.221	437
27.247	446	27.273	429
27.297	447	27.323	421
27.348	446	27.374	418
27.399	446	27.424	420
27.450	446	27.475	423
27.500	447	27.526	429
27.551	446	27.577	437
27.601	446	27.627	449
27.653	448	27.678	463
27.703	447	27.728	478
27.754	446	27.780	493
27.804	447	27.830	507
27.855	448	27.881	520
27.905	446	27.931	532
27.957	447	27.982	541
28.007	446	28.032	547
28.058	447	28.084	549
28.108	447	28.134	550
28.159	447	28.185	547
28.210	447	28.235	540
28.261	447	28.286	531
28.311	447	28.337	519
28.362	446	28.388	506
28.412	447	28.438	491
28.464	447	28.489	477
28.514	447	28.539	463
28.565	447	28.591	451
28.615	447	28.641	439
28.666	447	28.692	431
28.716	447	28.742	424
28.768	446	28.793	421
28.818	446	28.843	421
28.869	447	28.895	426
28.919	447	28.945	432
28.970	446	28.996	441
29.022	447	29.046	453
29.072	446	29.097	466
29.123	447	29.148	478
29.173	447	29.199	493
29.224	446	29.249	506
29.275	447	29.300	519
29.326	446	29.350	530
29.376	447	29.402	538
29.427	447	29.452	546
29.477	447	29.503	548
29.529	447	29.553	548
29.579	447	29.604	543
29.630	447	29.654	537
29.680	447	29.706	528
29.731	448	29.756	517
29.781	447	29.807	504
29.833	447	29.857	491
29.883	446	29.908	477
29.934	447	29.959	463
29.984	446	30.010	451
30.035	446	30.060	440
30.086	447	30.111	433
30.137	446	30.161	427
30.187	447	30.213	424
30.238	446	30.263	424
30.288	447	30.314	428
30.340	446	30.364	434
30.390	447	30.415	443
30.441	448	30.465	455
30.491	447	30.517	467
30.542	445	30.567	480
30.592	447	30.618	495
30.644	447	30.668	508
30.694	448	30.719	519
30.745	446	30.770	529
30.795	446	30.821	537
30.846	447	30.871	543
30.897	447	30.922	545
30.948	447	30.972	545
30.998	447	31.024	541
31.049	447	31.074	534
31.099	446	31.125	526
31.151	446	31.175	515
31.201	446	31.226	503
31.252	447	31.276	489
31.302	447	31.328	477
31.353	446	31.378	464
31.403	448	31.429	452
31.455	446	31.479	443
31.505	446	31.530	435
31.556	447	31.581	429
31.606	447	31.632	427
31.657	447	31.682	428
31.708	446	31.733	431
31.759	447	31.783	438
31.809	447	31.835	446
31.860	447	31.885	457
31.910	446	31.936	470
31.962	446	31.986	481
32.012	447	32.037	494
32.063	447	32.087	506
32.113	447	32.139	520
32.164	446	32.190	528
32.214	447	32.240	536
32.266	447	32.291	542
32.316	446	32.341	542
32.367	447	32.393	542
32.417	447	32.443	538
32.468	447	32.494	532
32.519	446	32.544	523
32.570	447	32.595	514
32.620	447	32.646	500
32.671	447	32.697	488
32.721	446	32.747	476
32.773	448	32.798	464
32.823	447	32.848	453
32.874	446	32.900	443
32.924	446	32.950	436
32.975	447	33.001	432
33.025	446	33.051	429
33.077	446	33.102	431
33.127	446	33.152	434
33.178	447	33.204	440
33.228	446	33.254	449
33.279	448	33.305	458
33.330	448	33.355	470
33.381	447	33.406	482
33.431	447	33.457	495
33.482	447	33.508	507
33.532	446	33.558	518
33.584	447	33.609	527
33.634	447	33.659	533
33.685	447	33.711	538
33.735	447	33.761	539
33.786	446	33.812	541
33.836	447	33.862	535
33.888	447	33.913	530
33.938	447	33.963	520
33.989	446	34.015	510
34.039	446	34.065	498
34.090	447	34.116	488
34.141	445	34.166	476
34.192	447	34.217	464
34.242	447	34.268	453
34.293	447	34.319	445
34.343	447	34.369	439
34.395	446	34.420	434
34.445	447	34.470	431
34.496	447	34.522	433
34.546	446	34.572	437
34.597	447	34.623	443
34.647	446	34.673	451
34.699	446	34.724	461
34.749	447	34.774	471
34.800	447	34.826	483
34.850	445	34.876	495
34.901	446	34.927	507
34.952	447	34.977	516
35.003	446	35.028	525
35.053	447	35.079	532
35.104	446	35.130	536
35.154	447	35.180	537
35.206	447	35.231	536
35.256	446	35.281	532
35.307	447	35.333	527
35.357	447	35.383	518
35.408	447	35.434	509
35.458	447	35.484	498
35.510	447	35.535	487
35.560	447	35.585	476
35.611	446	35.637	464
35.661	447	35.687	455
35.712	446	35.738	446
35.763	447	35.788	440
35.814	447	35.839	436
35.865	446	35.890	435
