#Creator: pendulumEventBuffer
#Creation time: Thu Mar 30 12:09:25 2023
#Time	Period	Transit time
#[s]	[s]	[s]
225.897238	2.124412	0.021860
226.959438	2.124403	0.021932
228.021641	2.124369	0.021998
229.083807	2.124274	0.022058
230.145915	2.124203	0.022126
231.208010	2.124166	0.022196
232.270081	2.124073	0.022266
233.332083	2.123996	0.022334
234.394077	2.124052	0.022394
235.456135	2.124044	0.022466
236.518121	2.123922	0.022538
237.580057	2.123798	0.022614
238.641919	2.123748	0.022678
239.703805	2.123743	0.022722
240.765662	2.123675	0.022784
241.827480	2.123629	0.022868
242.889291	2.123636	0.022934
243.951116	2.123612	0.023000
245.012903	2.123549	0.023058
246.074665	2.123506	0.023118
247.136409	2.123445	0.023190
248.198110	2.123380	0.023260
249.259789	2.123334	0.023334
250.321444	2.123260	0.023404
251.383049	2.123212	0.023478
252.444656	2.123202	0.023548
253.506251	2.123189	0.023614
254.567845	2.123152	0.023682
255.629403	2.123077	0.023754
256.690922	2.123028	0.023828
257.752431	2.123015	0.023898
258.813937	2.122990	0.023966
259.875421	2.122958	0.024034
260.936895	2.122920	0.024098
261.998341	2.122875	0.024190
263.059770	2.122807	0.024272
264.121148	2.122767	0.024332
265.182537	2.122756	0.024406
266.243904	2.122700	0.024484
267.305237	2.122636	0.024554
268.366540	2.122597	0.024624
269.427834	2.122584	0.024700
270.489124	2.122547	0.024772
271.550381	2.122500	0.024842
272.611624	2.122526	0.024916
273.672907	2.122541	0.024990
274.734165	2.122479	0.025062
275.795386	2.122361	0.025136
276.856526	2.122303	0.025204
277.917689	2.122315	0.025282
278.978841	2.122259	0.025370
280.039948	2.122218	0.025448
281.101059	2.122233	0.025522
282.162181	2.122197	0.025598
283.223256	2.122137	0.025668
284.284318	2.122082	0.025744
285.345338	2.122014	0.025824
286.406332	2.121938	0.025892
287.467276	2.121873	0.025968
288.528205	2.121864	0.026054
289.589140	2.121867	0.026136
290.650072	2.121848	0.026216
291.710988	2.121867	0.026296
292.771939	2.121869	0.026382
293.832857	2.121828	0.026470
294.893767	2.121781	0.026550
295.954638	2.121725	0.026632
297.015492	2.121695	0.026716
298.076333	2.121632	0.026798
299.137124	2.121594	0.026876
300.197927	2.121612	0.026950
301.258736	2.121564	0.027040
302.319491	2.121494	0.027122
303.380230	2.121473	0.027200
304.440964	2.121445	0.027276
305.501675	2.121401	0.027358
306.562365	2.121380	0.027450
307.623055	2.121334	0.027530
308.683699	2.121286	0.027598
309.744341	2.121301	0.027686
310.805000	2.121327	0.027784
311.865668	2.121267	0.027868
312.926267	2.121201	0.027966
313.986869	2.121181	0.028054
315.047448	2.121140	0.028116
316.108009	2.121123	0.028206
317.168571	2.121084	0.028310
318.229093	2.121012	0.028402
319.289583	2.120996	0.028490
320.350089	2.120998	0.028570
321.410581	2.120980	0.028662
322.471069	2.120969	0.028758
323.531550	2.120935	0.028852
324.592004	2.120826	0.028936
325.652376	2.120763	0.029032
326.712767	2.120760	0.029114
327.773136	2.120711	0.029200
328.833478	2.120732	0.029304
329.893868	2.120768	0.029396
330.954246	2.120742	0.029484
332.014610	2.120715	0.029568
333.074961	2.120647	0.029662
334.135257	2.120567	0.029754
335.195528	2.120496	0.029840
336.255753	2.120458	0.029946
337.315986	2.120476	0.030044
338.376229	2.120459	0.030130
339.436445	2.120432	0.030226
340.496661	2.120452	0.030318
341.556897	2.120392	0.030422
342.617053	2.120330	0.030522
343.677227	2.120337	0.030610
344.737390	2.120261	0.030704
345.797488	2.120214	0.030800
346.857604	2.120251	0.030900
347.917739	2.120229	0.031002
348.977833	2.120198	0.031098
350.037937	2.120186	0.031194
351.098019	2.120171	0.031302
352.158108	2.120141	0.031404
353.218160	2.120084	0.031500
354.278192	2.119992	0.031600
355.338152	2.119948	0.031696
356.398140	2.119992	0.031792
357.458144	2.119989	0.031892
358.518129	2.119942	0.031990
359.578086	2.119862	0.032092
360.637991	2.119843	0.032198
361.697929	2.119836	0.032298
362.757827	2.119788	0.032398
363.817717	2.119786	0.032506
364.877613	2.119741	0.032610
365.937458	2.119742	0.032712
366.997355	2.119737	0.032814
368.057195	2.119666	0.032914
369.117021	2.119618	0.033010
