#Creator: pendulumEventBuffer
#Creation time: Thu Mar 30 12:09:25 2023
#Time	Period	Transit time
#[s]	[s]	[s]
2.995530	2.123964	0.022336
4.057455	2.123851	0.022406
5.119381	2.123824	0.022474
6.181279	2.123788	0.022538
7.243169	2.123752	0.022602
8.305031	2.123719	0.022666
9.366888	2.123676	0.022732
10.428707	2.123621	0.022802
11.490509	2.123566	0.022862
12.552273	2.123526	0.022922
13.614035	2.123490	0.022998
14.675763	2.123448	0.023070
15.737483	2.123399	0.023134
16.799162	2.123352	0.023204
17.860835	2.123315	0.023270
18.922477	2.123268	0.023330
19.984103	2.123217	0.023394
21.045694	2.123180	0.023460
22.107283	2.123144	0.023526
23.168838	2.123091	0.023600
24.230374	2.122988	0.023672
25.291826	2.122978	0.023744
26.353352	2.123011	0.023812
27.414837	2.122956	0.023878
28.476308	2.122905	0.023948
29.537742	2.122852	0.024012
30.599160	2.122811	0.024084
31.660553	2.122816	0.024158
32.721976	2.122788	0.024224
33.783341	2.122692	0.024298
34.844668	2.122677	0.024372
35.906018	2.122638	0.024440
36.967306	2.122576	0.024512
38.028594	2.122609	0.024584
39.089915	2.122583	0.024650
40.151177	2.122450	0.024722
41.212365	2.122404	0.024794
42.273581	2.122419	0.024870
43.334784	2.122378	0.024948
44.395959	2.122350	0.025014
45.457134	2.122311	0.025080
46.518270	2.122277	0.025156
47.579411	2.122254	0.025242
48.640524	2.122211	0.025320
49.701622	2.122175	0.025384
50.762699	2.122150	0.025454
51.823772	2.122113	0.025536
52.884812	2.122086	0.025608
53.945858	2.122057	0.025684
55.006869	2.122006	0.025774
56.067864	2.121977	0.025848
57.128846	2.121949	0.025912
58.189813	2.121909	0.025986
59.250755	2.121886	0.026070
60.311699	2.121853	0.026150
61.372608	2.121821	0.026220
62.433520	2.121789	0.026300
63.494397	2.121758	0.026382
64.555278	2.121725	0.026460
65.616122	2.121684	0.026536
66.676962	2.121634	0.026612
67.737756	2.121608	0.026692
68.798570	2.121578	0.026772
69.859334	2.121544	0.026848
70.920114	2.121527	0.026932
71.980861	2.121489	0.027018
73.041603	2.121448	0.027094
74.102309	2.121411	0.027166
75.163014	2.121384	0.027252
76.223693	2.121359	0.027342
77.284373	2.121319	0.027418
78.345012	2.121276	0.027500
79.405649	2.121251	0.027586
80.466263	2.121220	0.027666
81.526869	2.121190	0.027746
82.587453	2.121158	0.027826
83.648027	2.121110	0.027910
84.708563	2.121089	0.028002
85.769116	2.121067	0.028092
86.829630	2.121037	0.028172
87.890153	2.121006	0.028250
88.950636	2.120981	0.028336
90.011134	2.120957	0.028420
91.071593	2.120924	0.028506
92.132058	2.120896	0.028596
93.192489	2.120854	0.028686
94.252912	2.120819	0.028772
95.313308	2.120802	0.028852
96.373714	2.120801	0.028948
97.434109	2.120697	0.029046
98.494411	2.120594	0.029130
99.554703	2.120625	0.029222
100.615036	2.120643	0.029308
101.675346	2.120619	0.029400
102.735655	2.120585	0.029494
103.795931	2.120547	0.029586
104.856202	2.120519	0.029676
105.916450	2.120506	0.029764
106.976708	2.120484	0.029856
108.036934	2.120448	0.029944
109.097156	2.120421	0.030040
110.157355	2.120400	0.030138
111.217556	2.120370	0.030232
112.277725	2.120346	0.030326
113.337902	2.120318	0.030420
114.398043	2.120296	0.030510
115.458198	2.120268	0.030604
116.518311	2.120231	0.030702
117.578429	2.120202	0.030794
118.638513	2.120174	0.030890
