#Creator: pendulumEventBuffer
#Creation time: Thu Mar 30 12:09:25 2023
#Time	Period	Transit time
#[s]	[s]	[s]
223.901293	2.118256	0.039298
224.960415	2.118248	0.039418
226.019541	2.118236	0.039526
227.078651	2.118216	0.039646
228.137757	2.118204	0.039778
229.196855	2.118184	0.039902
230.255941	2.118148	0.040026
231.315003	2.118135	0.040150
232.374076	2.118130	0.040280
233.433133	2.118113	0.040402
234.492189	2.118070	0.040526
235.551203	2.118040	0.040654
236.610229	2.118037	0.040774
237.669240	2.118022	0.040908
238.728251	2.118001	0.041042
239.787241	2.117980	0.041166
240.846231	2.117954	0.041294
241.905195	2.117935	0.041426
242.964166	2.117907	0.041560
244.023102	2.117895	0.041688
245.082061	2.117896	0.041810
246.140998	2.117880	0.041940
247.199941	2.117858	0.042078
248.258856	2.117838	0.042212
249.317779	2.117833	0.042338
250.376689	2.117803	0.042466
251.435582	2.117770	0.042600
252.494459	2.117757	0.042738
253.553339	2.117740	0.042874
254.612199	2.117722	0.043010
255.671061	2.117704	0.043150
256.729903	2.117692	0.043286
257.788753	2.117675	0.043418
258.847578	2.117661	0.043556
259.906414	2.117632	0.043696
260.965210	2.117611	0.043836
262.024025	2.117610	0.043970
263.082820	2.117594	0.044108
264.141619	2.117574	0.044254
265.200394	2.117549	0.044388
266.259168	2.117527	0.044524
267.317921	2.117513	0.044674
268.376681	2.117503	0.044822
269.435424	2.117496	0.044964
270.494177	2.117478	0.045110
271.552902	2.117448	0.045252
272.611625	2.117434	0.045398
273.670336	2.117417	0.045540
274.729042	2.117398	0.045680
275.787734	2.117376	0.045828
276.846418	2.117366	0.045984
277.905100	2.117369	0.046140
278.963787	2.117353	0.046282
280.022453	2.117339	0.046414
281.081126	2.117343	0.046568
282.139796	2.117344	0.046724
283.198470	2.117329	0.046876
284.257125	2.117311	0.047030
285.315781	2.117281	0.047178
286.374406	2.117256	0.047332
287.433037	2.117240	0.047490
288.491646	2.117211	0.047640
289.550248	2.117183	0.047792
290.608829	2.117172	0.047950
291.667420	2.117160	0.048112
292.725989	2.117143	0.048266
293.784563	2.117121	0.048422
294.843110	2.117092	0.048584
295.901655	2.117073	0.048738
296.960183	2.117055	0.048894
298.018710	2.117034	0.049060
299.077217	2.117027	0.049226
300.135737	2.117013	0.049386
301.194230	2.117010	0.049552
302.252747	2.117018	0.049718
303.311248	2.117000	0.049880
304.369747	2.116968	0.050046
305.428216	2.116933	0.050208
306.486680	2.116909	0.050372
307.545125	2.116892	0.050550
308.603572	2.116872	0.050732
309.661997	2.116858	0.050894
310.720430	2.116845	0.051056
311.778842	2.116823	0.051228
312.837253	2.116807	0.051398
313.895649	2.116799	0.051578
314.954052	2.116781	0.051760
316.012430	2.116759	0.051936
317.070811	2.116739	0.052106
318.129169	2.116719	0.052286
319.187530	2.116691	0.052464
320.245860	2.116667	0.052640
321.304197	2.116656	0.052814
322.362516	2.116653	0.052992
323.420850	2.116639	0.053180
324.479155	2.116608	0.053362
325.537458	2.116590	0.053540
326.595745	2.116570	0.053718
327.654028	2.116542	0.053900
328.712287	2.116489	0.054086
329.770517	2.116424	0.054270
330.828711	2.116391	0.054450
331.886908	2.116380	0.054628
332.945091	2.116366	0.054810
334.003274	2.116342	0.054996
335.061433	2.116324	0.055182
336.119598	2.116242	0.055368
337.177675	2.116161	0.055542
338.235759	2.116132	0.055710
339.293807	2.116099	0.055882
340.351858	2.116077	0.056056
341.409884	2.116059	0.056220
342.467917	2.116047	0.056390
343.525931	2.116037	0.056570
344.583954	2.116030	0.056748
345.641961	2.116023	0.056922
346.699977	2.116004	0.057098
347.757965	2.115987	0.057270
348.815964	2.115980	0.057448
349.873945	2.115963	0.057630
350.931927	2.115938	0.057810
351.989883	2.115929	0.057990
353.047856	2.115927	0.058164
354.105810	2.115923	0.058340
355.163779	2.115901	0.058526
356.221711	2.115862	0.058706
357.279641	2.115833	0.058878
358.337544	2.115817	0.059060
359.395458	2.115820	0.059248
360.453364	2.115814	0.059440
361.511272	2.115790	0.059620
362.569154	2.115774	0.059792
363.627046	2.115769	0.059976
364.684923	2.115760	0.060158
365.742806	2.115756	0.060344
366.800679	2.115743	0.060542
367.858549	2.115713	0.060730
368.916392	2.115697	0.060916
369.974246	2.115682	0.061100
371.032074	2.115662	0.061300
372.089908	2.115657	0.061496
373.147731	2.115653	0.061682
374.205561	2.115634	0.061866
375.263365	2.115619	0.062058
376.321180	2.115604	0.062252
377.378969	2.115586	0.062442
378.436766	2.115565	0.062640
379.494534	2.115535	0.062840
380.552301	2.115516	0.063034
381.610050	2.115511	0.063236
382.667812	2.115512	0.063436
383.725562	2.115496	0.063632
384.783308	2.115473	0.063828
385.841035	2.115452	0.064030
386.898760	2.115432	0.064232
387.956467	2.115410	0.064426
389.014170	2.115382	0.064628
390.071849	2.115362	0.064830
391.129532	2.115348	0.065028
392.187197	2.115321	0.065222
393.244853	2.115275	0.065422
394.302472	2.115229	0.065596
395.360082	2.115208	0.065788
396.417680	2.115211	0.065988
397.475293	2.115216	0.066174
398.532896	2.115219	0.066364
399.590512	2.115201	0.066564
400.648097	2.115174	0.066754
401.705686	2.115149	0.066948
402.763246	2.115137	0.067128
403.820823	2.115131	0.067314
404.878377	2.115103	0.067510
405.935926	2.115097	0.067716
406.993474	2.115108	0.067920
408.051034	2.115091	0.068104
409.108565	2.115061	0.068298
410.166095	2.115049	0.068498
411.223614	2.115050	0.068696
412.281145	2.115050	0.068870
413.338664	2.115052	0.069056
414.396197	2.115049	0.069242
415.453713	2.115038	0.069438
416.511235	2.115018	0.069642
417.568731	2.114999	0.069838
418.626234	2.114987	0.070024
419.683718	2.114986	0.070220
420.741220	2.114974	0.070420
421.798692	2.114955	0.070612
422.856175	2.114953	0.070802
423.913645	2.114946	0.070998
424.971121	2.114943	0.071194
426.028588	2.114950	0.071392
427.086071	2.114942	0.071582
428.143530	2.114924	0.071772
429.200995	2.114909	0.071966
430.258439	2.114894	0.072166
431.315889	2.114880	0.072374
432.373319	2.114866	0.072578
433.430755	2.114855	0.072766
434.488174	2.114848	0.072968
435.545603	2.114844	0.073178
436.603018	2.114847	0.073376
437.660450	2.114831	0.073580
438.717849	2.114804	0.073766
439.775254	2.114797	0.073964
440.832646	2.114793	0.074188
441.890047	2.114786	0.074394
442.947432	2.114772	0.074580
444.004819	2.114757	0.074790
445.062189	2.114748	0.074998
446.119567	2.114738	0.075194
447.176927	2.114726	0.075394
448.234293	2.114708	0.075606
449.291635	2.114695	0.075810
450.348988	2.114696	0.076016
451.406331	2.114695	0.076222
452.463683	2.114673	0.076442
453.521004	2.114657	0.076640
454.578340	2.114650	0.076848
455.635654	2.114637	0.077064
456.692977	2.114632	0.077270
457.750286	2.114619	0.077484
458.807596	2.114597	0.077684
459.864883	2.114605	0.077898
460.922201	2.114611	0.078110
461.979494	2.114592	0.078324
463.036793	2.114573	0.078530
464.094067	2.114560	0.078734
465.151353	2.114550	0.078946
466.208617	2.114537	0.079154
467.265890	2.114533	0.079360
468.323150	2.114528	0.079576
469.380418	2.114506	0.079792
470.437656	2.114479	0.079996
471.494897	2.114473	0.080190
472.552129	2.114477	0.080398
473.609374	2.114466	0.080624
474.666595	2.114456	0.080846
475.723830	2.114453	0.081052
476.781048	2.114437	0.081256
477.838267	2.114416	0.081470
478.895464	2.114410	0.081680
479.952677	2.114415	0.081882
481.009879	2.114421	0.082086
482.067098	2.114391	0.082308
483.124270	2.114329	0.082536
484.181427	2.114336	0.082742
485.238606	2.114379	0.082964
486.295806	2.114353	0.083192
487.352959	2.114312	0.083394
488.410118	2.114333	0.083596
489.467292	2.114363	0.083800
490.524481	2.114347	0.084026
491.581639	2.114315	0.084238
492.638796	2.114289	0.084444
493.695928	2.114275	0.084640
494.753071	2.114274	0.084838
495.810202	2.114240	0.085056
496.867311	2.114194	0.085270
497.924396	2.114208	0.085464
498.981519	2.114204	0.085662
500.038600	2.114182	0.085868
501.095701	2.114182	0.086078
502.152782	2.114166	0.086276
503.209867	2.114143	0.086470
504.266925	2.114137	0.086674
505.324004	2.114156	0.086884
506.381081	2.114146	0.087082
507.438150	2.114122	0.087276
508.495203	2.114120	0.087478
509.552270	2.114129	0.087684
510.609332	2.114102	0.087900
511.666372	2.114053	0.088100
512.723385	2.114050	0.088302
513.780422	2.114061	0.088504
514.837446	2.114047	0.088692
515.894469	2.114047	0.088886
516.951493	2.114050	0.089082
518.008519	2.114019	0.089282
519.065512	2.114048	0.089496
520.122567	2.114053	0.089686
521.179565	2.114021	0.089890
522.236588	2.114023	0.090096
523.293588	2.114009	0.090296
524.350597	2.113999	0.090506
525.407587	2.113998	0.090694
526.464595	2.114005	0.090898
527.521592	2.114018	0.091108
528.578613	2.114015	0.091306
529.635607	2.114005	0.091502
530.692618	2.114009	0.091700
531.749616	2.114008	0.091904
532.806626	2.113984	0.092116
533.863600	2.113953	0.092308
534.920579	2.113937	0.092510
535.977537	2.113933	0.092714
537.034512	2.113932	0.092912
538.091469	2.113944	0.093106
539.148456	2.113964	0.093312
540.205433	2.113965	0.093522
541.262421	2.113952	0.093726
542.319385	2.113931	0.093926
543.376352	2.113917	0.094120
544.433302	2.113908	0.094316
545.490260	2.113901	0.094516
546.547203	2.113898	0.094730
547.604158	2.113902	0.094932
548.661105	2.113905	0.095138
549.718063	2.113893	0.095342
550.774998	2.113884	0.095544
551.831947	2.113883	0.095758
552.888881	2.113862	0.095970
553.945809	2.113833	0.096170
555.002714	2.113842	0.096384
556.059651	2.113855	0.096602
557.116569	2.113859	0.096802
558.173510	2.113869	0.097004
559.230438	2.113860	0.097220
560.287370	2.113846	0.097436
561.344284	2.113832	0.097640
562.401202	2.113816	0.097844
563.458100	2.113823	0.098068
564.515025	2.113815	0.098294
565.571915	2.113796	0.098502
566.628821	2.113801	0.098698
567.685716	2.113806	0.098892
568.742627	2.113802	0.099110
569.799518	2.113782	0.099332
570.856409	2.113769	0.099550
571.913287	2.113769	0.099762
572.970178	2.113759	0.099984
574.027046	2.113753	0.100200
575.083931	2.113757	0.100410
576.140803	2.113762	0.100614
577.197693	2.113764	0.100814
578.254567	2.113752	0.101038
579.311445	2.113726	0.101258
580.368293	2.113728	0.101470
581.425173	2.113743	0.101682
582.482036	2.113733	0.101896
583.538906	2.113714	0.102108
584.595750	2.113688	0.102308
585.652594	2.113660	0.102520
586.709410	2.113654	0.102744
587.766248	2.113674	0.102964
588.823084	2.113722	0.103184
589.879970	2.113714	0.103400
590.936798	2.113661	0.103608
591.993631	2.113676	0.103818
593.050474	2.113698	0.104032
594.107329	2.113677	0.104258
595.164151	2.113649	0.104482
596.220978	2.113638	0.104692
597.277789	2.113640	0.104910
598.334618	2.113651	0.105132
599.391440	2.113651	0.105356
600.448269	2.113628	0.105586
601.505068	2.113613	0.105800
602.561882	2.113606	0.106004
603.618674	2.113591	0.106224
604.675473	2.113594	0.106462
605.732268	2.113589	0.106688
606.789062	2.113566	0.106900
607.845834	2.113586	0.107128
608.902648	2.113590	0.107364
609.959424	2.113578	0.107584
611.016226	2.113562	0.107804
612.072986	2.113527	0.108016
613.129753	2.113526	0.108242
614.186512	2.113548	0.108476
615.243301	2.113544	0.108702
616.300056	2.113541	0.108928
617.356842	2.113526	0.109136
618.413582	2.113509	0.109352
619.470351	2.113532	0.109586
620.527114	2.113531	0.109820
621.583882	2.113506	0.110044
622.640620	2.113481	0.110276
623.697363	2.113484	0.110502
624.754104	2.113493	0.110716
625.810856	2.113504	0.110944
626.867608	2.113492	0.111172
627.924348	2.113500	0.111396
628.981108	2.113507	0.111636
630.037855	2.113470	0.111874
631.094578	2.113471	0.112104
632.151326	2.113443	0.112320
633.208021	2.113460	0.112546
634.264786	2.113469	0.112792
635.321490	2.113421	0.113020
636.378207	2.113389	0.113246
637.434879	2.113397	0.113474
638.491604	2.113498	0.113696
639.548377	2.113465	0.113918
640.605069	2.113338	0.114162
641.661715	2.113277	0.114430
642.718346	2.113281	0.114664
643.774996	2.113359	0.114892
644.831705	2.113456	0.115118
645.888452	2.113474	0.115332
646.945179	2.113340	0.115566
648.001792	2.113268	0.115804
649.058447	2.113250	0.116058
650.115042	2.113202	0.116292
651.171649	2.113251	0.116530
652.228293	2.113316	0.116778
653.284965	2.113291	0.117018
654.341584	2.113282	0.117284
655.398247	2.113334	0.117554
656.454918	2.113294	0.117820
657.511541	2.113261	0.118082
658.568179	2.113279	0.118346
659.624820	2.113283	0.118588
660.681462	2.113283	0.118828
661.738103	2.113252	0.119086
662.794714	2.113265	0.119344
663.851368	2.113273	0.119616
664.907987	2.113242	0.119882
665.964610	2.113236	0.120132
667.021223	2.113198	0.120386
668.077808	2.113206	0.120668
669.134429	2.113238	0.120922
670.191046	2.113183	0.121176
671.247612	2.113213	0.121432
672.304259	2.113235	0.121662
673.360847	2.113194	0.121910
674.417453	2.113216	0.122166
675.474063	2.113208	0.122426
676.530661	2.113138	0.122670
677.587201	2.113179	0.122922
678.643840	2.113308	0.123164
679.700509	2.113229	0.123414
680.757069	2.113094	0.123674
681.813603	2.113155	0.123922
682.870224	2.113148	0.124168
683.926751	2.113130	0.124406
684.983354	2.113153	0.124664
686.039904	2.113129	0.124932
687.096483	2.113212	0.125186
688.153116	2.113261	0.125444
689.209744	2.113176	0.125716
690.266292	2.113114	0.125944
691.322858	2.113168	0.126184
692.379460	2.113204	0.126444
693.436062	2.113186	0.126700
694.492646	2.113183	0.126948
695.549245	2.113185	0.127210
696.605831	2.113169	0.127450
697.662414	2.113082	0.127680
698.718913	2.113041	0.127918
699.775455	2.113149	0.128150
700.832062	2.113192	0.128400
701.888647	2.113140	0.128642
702.945202	2.113137	0.128892
704.001784	2.113171	0.129132
705.058373	2.113090	0.129386
706.114874	2.113091	0.129632
707.171464	2.113175	0.129888
708.228049	2.113090	0.130154
