#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.204	433	13.230	489
13.255	417	13.281	487
13.306	400	13.331	488
13.357	384	13.382	492
13.407	369	13.433	497
13.458	357	13.484	503
13.508	348	13.534	512
13.559	342	13.585	520
13.610	341	13.635	529
13.661	341	13.686	537
13.711	348	13.737	545
13.762	356	13.788	552
13.812	368	13.838	558
13.864	383	13.889	562
13.914	399	13.939	564
13.965	416	13.991	563
14.015	433	14.041	562
14.066	449	14.092	559
14.117	464	14.142	555
14.168	475	14.193	548
14.218	484	14.244	541
14.269	487	14.295	534
14.319	489	14.345	527
14.371	487	14.396	520
14.421	479	14.446	513
14.472	469	14.497	507
14.522	456	14.548	504
14.573	441	14.599	500
14.623	423	14.649	499
14.675	406	14.700	497
14.725	389	14.750	502
14.776	373	14.802	504
14.826	359	14.852	509
14.877	349	14.903	513
14.928	342	14.953	519
14.979	339	15.004	526
15.029	338	15.055	532
15.080	343	15.106	538
15.130	351	15.156	542
15.182	362	15.207	547
15.232	377	15.257	551
15.283	394	15.308	553
15.333	410	15.359	554
15.384	427	15.410	553
15.434	445	15.460	551
15.486	460	15.511	549
15.536	473	15.561	544
15.587	482	15.613	539
15.637	489	15.663	534
15.688	492	15.714	529
15.739	489	15.764	525
15.790	484	15.815	520
15.840	473	15.866	516
15.891	462	15.917	514
15.941	447	15.967	511
15.993	431	16.018	510
16.043	412	16.068	509
16.094	395	16.119	511
16.144	378	16.170	512
16.195	364	16.221	514
16.245	351	16.271	517
16.297	342	16.322	522
16.347	339	16.372	525
16.398	336	16.424	528
16.448	341	16.474	531
16.499	347	16.525	535
16.550	358	16.575	538
16.601	371	16.626	540
16.651	386	16.677	541
16.702	403	16.728	542
16.752	421	16.778	542
16.804	439	16.829	541
16.854	455	16.879	540
16.905	469	16.931	538
16.955	480	16.981	537
17.006	488	17.032	534
17.056	490	17.082	531
17.108	490	17.133	528
17.158	486	17.183	526
17.209	479	17.235	524
17.259	465	17.285	523
17.310	453	17.336	521
17.361	435	17.386	520
17.412	420	17.437	521
17.462	400	17.488	520
17.513	384	17.539	521
17.563	369	17.589	522
17.615	356	17.640	524
17.665	346	17.690	525
17.716	340	17.742	526
17.766	337	17.792	526
17.817	339	17.843	529
17.867	344	17.893	529
17.919	353	17.944	530
17.969	367	17.994	530
18.020	380	18.046	532
18.070	398	18.096	532
18.121	415	18.147	532
18.172	432	18.197	531
18.223	449	18.248	531
18.273	464	18.299	531
18.324	475	18.350	530
18.374	484	18.400	529
18.426	489	18.451	531
18.476	489	18.501	530
18.527	487	18.553	530
18.577	480	18.603	530
18.628	469	18.654	529
18.678	455	18.704	530
18.730	442	18.755	530
18.780	425	18.805	530
18.831	408	18.857	530
18.881	390	18.907	530
18.932	375	18.958	531
18.984	361	19.008	529
19.034	351	19.059	528
19.085	343	19.110	529
19.135	339	19.161	528
19.186	340	19.211	527
19.237	343	19.262	525
19.288	352	19.312	525
19.338	362	19.364	524
19.389	377	19.414	523
19.439	393	19.465	523
19.491	410	19.515	523
19.541	425	19.566	523
19.592	443	19.616	524
19.642	458	19.668	526
19.693	470	19.718	526
19.743	479	19.769	529
19.795	485	19.819	529
19.845	488	19.870	531
19.896	486	19.921	532
19.946	480	19.972	535
19.997	471	20.022	536
20.048	459	20.073	537
20.099	445	20.123	538
20.149	431	20.175	538
20.200	414	20.225	538
20.250	397	20.276	537
20.302	381	20.326	534
20.352	367	20.377	534
20.403	356	20.427	533
20.453	348	20.479	529
20.504	343	20.529	528
20.554	341	20.580	525
20.606	346	20.630	522
20.656	350	20.681	519
20.707	359	20.732	518
20.757	373	20.783	517
20.808	388	20.833	515
20.859	404	20.884	515
20.910	420	20.934	516
20.960	436	20.986	518
21.011	451	21.036	519
21.061	464	21.087	522
21.113	474	21.137	524
21.163	481	21.188	529
21.214	485	21.238	531
21.264	484	21.290	534
21.315	480	21.340	537
21.365	473	21.391	540
21.417	463	21.441	542
21.467	451	21.492	543
21.518	434	21.543	545
21.568	419	21.594	544
21.619	404	21.644	544
21.670	388	21.695	542
21.721	374	21.745	539
21.771	362	21.797	535
21.822	353	21.847	533
21.872	347	21.898	527
21.924	345	21.948	524
21.974	347	21.999	520
22.025	351	22.049	516
22.075	360	22.101	513
22.126	371	22.152	512
22.176	384	22.202	510
22.228	399	22.253	508
22.278	414	22.303	511
22.329	429	22.355	510
22.379	444	22.405	514
22.430	456	22.456	516
22.481	467	22.506	521
22.532	476	22.557	526
22.582	479	22.608	529
22.633	481	22.659	535
22.683	477	22.709	540
22.735	472	22.760	543
22.785	464	22.810	547
22.836	451	22.862	549
22.886	439	22.912	551
22.937	424	22.963	551
22.987	409	23.013	549
23.039	395	23.064	548
23.089	381	23.114	545
23.140	369	23.166	541
23.190	360	23.216	536
23.241	352	23.267	531
