#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.204	447	13.230	395
13.255	447	13.280	403
13.306	447	13.331	415
13.357	447	13.381	430
13.407	448	13.433	448
13.458	448	13.483	468
13.508	448	13.534	487
13.560	447	13.584	508
13.610	448	13.635	525
13.661	448	13.685	542
13.711	447	13.737	554
13.762	449	13.787	563
13.812	448	13.838	567
13.864	448	13.888	569
13.914	448	13.939	565
13.965	448	13.990	556
14.015	448	14.041	547
14.066	448	14.091	530
14.117	448	14.142	512
14.168	448	14.192	493
14.218	447	14.244	473
14.269	447	14.294	455
14.319	447	14.345	437
14.371	447	14.395	421
14.421	448	14.446	409
14.472	446	14.496	401
14.522	447	14.548	396
14.573	448	14.598	395
14.623	447	14.649	400
14.675	447	14.699	407
14.725	447	14.750	417
14.776	448	14.801	435
14.826	448	14.852	450
14.877	447	14.902	469
14.928	448	14.953	488
14.979	448	15.003	507
15.029	449	15.055	524
15.080	449	15.105	540
15.130	447	15.156	551
15.182	448	15.206	559
15.232	449	15.257	564
15.283	447	15.307	564
15.333	447	15.359	562
15.384	447	15.409	552
15.434	448	15.460	542
15.486	447	15.510	526
15.536	448	15.561	510
15.587	448	15.612	491
15.637	448	15.663	473
15.688	448	15.713	454
15.739	447	15.764	438
15.790	447	15.814	424
15.840	447	15.866	412
15.891	447	15.916	403
15.941	448	15.967	400
15.993	448	16.017	400
16.043	448	16.068	403
16.094	448	16.118	412
16.144	447	16.170	423
16.195	448	16.221	437
16.245	447	16.271	453
16.297	449	16.322	471
16.347	447	16.372	489
16.398	447	16.424	507
16.448	447	16.474	523
16.499	448	16.525	538
16.550	448	16.575	550
16.601	448	16.626	556
16.651	447	16.677	561
16.702	448	16.728	561
16.752	448	16.778	557
16.804	448	16.829	549
16.854	448	16.879	538
16.905	447	16.931	524
16.955	447	16.981	508
17.006	447	17.032	490
17.056	447	17.082	473
17.108	447	17.133	455
17.158	448	17.183	439
17.209	448	17.235	425
17.259	448	17.285	414
17.310	448	17.336	406
17.361	448	17.386	401
17.412	447	17.437	401
17.462	447	17.488	408
17.513	447	17.539	415
17.563	447	17.589	426
17.615	447	17.640	440
17.665	447	17.690	455
17.716	448	17.742	472
17.766	446	17.792	490
17.817	448	17.843	507
17.867	447	17.893	523
17.919	447	17.944	535
17.969	448	17.994	547
18.020	448	18.046	554
18.070	448	18.096	559
18.121	448	18.147	558
18.172	447	18.197	553
18.223	447	18.248	546
18.273	448	18.299	535
18.324	448	18.350	521
18.374	447	18.400	506
18.426	447	18.451	489
18.476	447	18.501	472
18.527	447	18.553	455
18.577	448	18.603	439
18.628	447	18.654	428
18.678	448	18.704	416
18.730	447	18.755	409
18.780	448	18.805	406
18.831	448	18.857	406
18.881	446	18.907	411
18.932	447	18.958	416
18.983	447	19.008	429
19.034	447	19.059	442
19.084	447	19.110	458
19.135	447	19.161	474
19.185	447	19.211	490
19.237	447	19.262	507
19.287	446	19.312	522
19.338	447	19.364	533
19.388	447	19.414	544
19.439	448	19.465	552
19.490	448	19.515	554
19.541	448	19.566	554
19.591	448	19.616	550
19.642	446	19.668	543
19.692	447	19.718	532
19.743	447	19.769	520
19.794	446	19.819	504
19.845	448	19.870	488
19.895	448	19.921	470
19.946	448	19.972	453
19.996	446	20.022	440
20.048	448	20.073	431
20.098	447	20.123	418
20.149	447	20.175	412
20.199	447	20.225	409
20.250	448	20.276	410
20.301	447	20.326	414
20.352	448	20.377	421
20.402	447	20.427	432
20.453	447	20.479	445
20.503	447	20.529	460
20.554	448	20.580	475
20.605	448	20.630	491
20.656	447	20.681	506
20.707	447	20.732	521
20.757	448	20.783	533
20.808	447	20.833	543
20.859	447	20.884	549
20.910	449	20.934	552
20.960	447	20.986	551
21.011	448	21.036	548
21.061	448	21.087	540
21.113	448	21.137	530
21.163	448	21.188	517
21.214	448	21.238	502
21.264	448	21.290	488
21.315	447	21.340	471
21.365	447	21.391	456
21.417	447	21.441	443
21.467	448	21.492	430
21.518	448	21.543	422
21.568	448	21.594	415
21.619	448	21.644	412
21.670	448	21.695	413
