#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.205	448	13.231	508
13.256	448	13.281	538
13.307	448	13.332	565
13.357	448	13.383	587
13.408	448	13.434	603
13.458	448	13.484	613
13.510	449	13.535	617
13.560	449	13.585	613
13.611	450	13.637	603
13.661	449	13.687	588
13.712	449	13.738	566
13.762	448	13.788	541
13.814	449	13.839	512
13.864	449	13.889	482
13.915	449	13.941	451
13.965	448	13.991	422
14.016	449	14.042	396
14.067	448	14.092	374
14.118	447	14.143	358
14.168	448	14.194	350
14.219	447	14.245	345
14.269	447	14.295	348
14.321	447	14.346	359
14.371	448	14.396	375
14.422	447	14.448	398
14.472	448	14.498	423
14.523	447	14.549	451
14.574	448	14.599	482
14.625	447	14.650	512
14.675	448	14.700	540
14.726	449	14.752	566
14.776	448	14.802	585
14.827	449	14.853	602
14.878	449	14.903	611
14.929	449	14.954	615
14.979	447	15.005	610
15.030	449	15.056	600
15.080	449	15.106	584
15.132	449	15.157	563
15.182	448	15.207	537
15.233	449	15.259	508
15.283	448	15.309	478
15.334	448	15.360	449
15.385	449	15.410	422
15.436	448	15.461	395
15.486	447	15.511	376
15.537	447	15.563	361
15.587	448	15.613	351
15.638	447	15.664	349
15.689	447	15.714	353
15.740	447	15.765	364
15.791	447	15.816	380
15.841	447	15.867	402
15.892	448	15.917	426
15.943	447	15.968	455
15.994	447	16.018	484
16.044	448	16.070	514
16.095	449	16.120	541
16.145	449	16.171	566
16.197	448	16.221	585
16.247	449	16.272	600
16.298	449	16.322	608
16.348	450	16.374	611
16.399	449	16.424	606
16.449	450	16.475	596
16.501	448	16.525	579
16.551	449	16.576	558
16.602	448	16.627	533
16.652	449	16.678	505
16.703	449	16.728	476
16.754	448	16.779	445
16.805	448	16.829	420
16.855	448	16.881	395
16.906	448	16.931	376
16.956	446	16.982	361
17.008	448	17.032	355
17.058	448	17.083	351
17.109	448	17.134	357
17.159	448	17.185	366
17.210	447	17.235	384
17.260	448	17.286	405
17.312	447	17.336	431
17.362	448	17.387	458
17.413	448	17.438	487
17.463	449	17.489	516
17.514	448	17.539	542
17.565	448	17.590	566
17.616	449	17.640	584
17.666	448	17.692	596
17.717	448	17.742	606
17.767	448	17.793	608
17.819	448	17.843	603
17.869	449	17.894	591
17.920	448	17.945	574
17.970	448	17.996	553
18.021	448	18.046	528
18.071	447	18.097	499
18.123	448	18.147	472
18.173	447	18.198	443
18.224	448	18.249	419
18.274	448	18.300	395
18.325	447	18.350	377
18.376	447	18.401	363
18.427	448	18.451	356
18.477	447	18.503	354
18.528	448	18.553	361
18.578	448	18.604	372
18.630	448	18.654	389
18.680	449	18.705	411
18.731	449	18.756	435
18.781	449	18.807	464
18.832	448	18.858	489
18.882	450	18.908	518
18.934	449	18.959	544
18.984	449	19.009	567
19.035	448	19.061	584
19.085	449	19.111	597
19.136	449	19.162	603
19.187	448	19.212	604
19.238	448	19.263	599
19.288	450	19.314	588
19.339	448	19.365	571
19.389	448	19.415	548
19.441	448	19.466	524
19.491	448	19.516	498
19.542	447	19.568	471
19.592	449	19.618	442
19.643	449	19.669	418
19.694	448	19.719	395
19.745	447	19.770	377
19.795	447	19.820	365
19.846	448	19.872	358
19.896	448	19.922	359
19.947	448	19.973	363
19.998	447	20.023	376
20.049	449	20.074	393
20.099	448	20.125	416
20.150	448	20.176	440
20.200	448	20.226	466
20.252	448	20.277	494
20.302	449	20.327	521
20.353	449	20.379	546
20.403	447	20.429	567
20.454	449	20.480	584
20.505	448	20.530	596
20.556	447	20.581	601
20.606	448	20.631	601
20.657	448	20.683	595
20.707	449	20.733	583
20.758	449	20.784	565
20.809	448	20.834	545
20.860	448	20.885	520
20.910	448	20.936	493
20.961	447	20.987	466
21.011	448	21.037	440
21.063	448	21.088	416
21.113	448	21.138	395
21.164	449	21.190	378
21.214	448	21.240	368
21.265	449	21.291	362
21.316	447	21.341	362
21.367	448	21.392	367
21.417	448	21.442	380
21.468	447	21.494	397
21.518	448	21.544	419
21.569	447	21.595	443
21.620	448	21.645	469
21.671	448	21.696	496
21.721	450	21.747	523
21.772	449	21.798	545
21.822	448	21.848	568
