#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 17 11:40:47 2022
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
97.385	29.69	97.634	34.65
97.885	29.58	98.135	34.65
98.386	29.69	98.636	34.53
98.887	29.69	99.137	34.65
99.387	29.58	99.637	34.65
99.888	29.58	100.138	34.65
100.389	29.58	100.639	34.65
100.890	29.58	101.140	34.65
101.390	29.58	101.640	34.65
101.890	29.58	102.141	34.65
102.391	29.58	102.642	34.65
102.892	29.48	103.142	34.65
103.392	29.48	103.643	34.65
103.893	29.58	104.144	34.65
104.394	29.48	104.645	34.65
104.895	29.48	105.145	34.65
105.395	29.48	105.646	34.87
105.896	29.48	106.147	34.53
106.397	29.37	106.648	34.65
106.897	29.48	107.148	34.65
107.398	29.27	107.649	34.53
107.899	29.27	108.150	34.31
108.400	29.27	108.650	34.19
108.900	29.27	109.150	33.97
109.401	29.27	109.651	33.86
109.902	29.16	110.152	33.86
110.403	29.06	110.652	33.74
110.903	29.06	111.153	33.74
111.404	29.06	111.654	33.63
111.905	28.95	112.155	33.63
112.406	29.06	112.655	33.52
112.906	28.95	113.156	33.52
113.407	28.85	113.657	33.52
113.908	28.95	114.158	33.52
114.409	28.95	114.658	33.41
114.908	28.85	115.159	33.41
115.409	28.95	115.660	33.52
115.910	28.95	116.161	33.41
116.410	28.95	116.661	33.41
116.911	28.85	117.162	33.30
117.412	28.85	117.663	33.41
117.913	28.85	118.164	33.41
118.413	28.85	118.664	33.30
118.914	28.85	119.165	33.41
119.415	28.85	119.666	33.30
119.916	28.85	120.166	33.30
120.416	28.85	120.666	33.30
120.917	28.85	121.167	33.30
121.418	28.85	121.668	33.30
121.919	28.85	122.168	33.30
122.419	29.16	122.669	33.30
122.920	28.85	123.170	33.30
123.421	28.85	123.671	33.30
123.921	28.85	124.171	33.30
124.422	28.85	124.672	33.30
124.923	28.85	125.173	33.30
125.424	28.85	125.674	33.19
125.924	28.85	126.174	33.19
126.425	28.75	126.675	33.19
126.925	28.75	127.176	33.19
127.426	28.85	127.676	33.19
127.926	28.75	128.177	33.19
128.427	28.75	128.678	33.19
128.928	28.75	129.179	33.19
129.429	28.75	129.679	33.19
129.929	28.75	130.180	33.07
130.430	28.75	130.681	33.19
130.931	28.64	131.182	33.07
131.432	28.64	131.682	32.74
131.932	28.54	132.183	32.52
132.433	28.54	132.683	32.30
132.934	28.43	133.184	31.97
133.434	28.43	133.684	31.86
133.935	28.54	134.185	31.64
134.436	28.43	134.686	31.64
134.937	28.43	135.187	31.64
135.437	28.43	135.687	31.64
135.938	28.43	136.188	31.75
136.439	28.54	136.689	31.64
136.940	28.43	137.189	31.75
137.440	28.43	137.690	31.75
137.941	28.43	138.191	31.75
138.442	28.43	138.692	31.75
138.943	28.33	139.192	31.75
139.442	28.33	139.693	31.75
139.943	28.33	140.194	31.75
140.444	28.33	140.695	31.86
140.944	28.33	141.195	31.86
141.445	28.33	141.696	31.86
141.946	28.33	142.197	31.86
142.447	28.33	142.698	31.75
142.947	28.33	143.198	31.75
143.448	28.23	143.699	31.75
143.949	28.23	144.200	31.86
144.450	28.33	144.700	31.86
144.950	28.33	145.201	31.75
145.451	28.33	145.701	31.86
145.952	28.23	146.202	31.75
146.453	28.23	146.702	31.75
146.953	28.23	147.203	31.75
147.454	28.33	147.704	31.86
147.955	28.43	148.205	31.86
148.456	28.33	148.705	31.86
148.956	28.33	149.206	31.97
149.457	28.33	149.707	31.86
149.958	28.33	150.208	31.86
150.458	28.43	150.708	31.86
150.959	28.23	151.209	31.86
151.460	28.33	151.710	31.97
151.960	28.33	152.211	31.97
152.460	28.33	152.711	31.86
152.961	28.33	153.212	31.86
153.462	28.23	153.713	31.86
153.963	28.23	154.213	31.86
154.463	28.23	154.714	31.97
154.964	28.33	155.215	31.97
155.465	28.33	155.716	31.97
155.966	28.54	156.216	31.97
156.466	28.23	156.717	31.97
156.967	28.23	157.218	31.97
157.468	28.23	157.719	31.86
157.968	28.23	158.218	31.86
158.469	28.23	158.719	31.64
158.970	28.12	159.220	31.42
159.471	28.12	159.721	31.31
159.971	28.02	160.221	31.20
160.472	28.02	160.722	31.20
160.973	27.92	161.223	31.20
161.474	28.12	161.723	31.09
161.974	27.81	162.224	31.09
162.475	27.81	162.725	30.98
162.976	27.81	163.226	30.98
163.477	27.71	163.726	30.98
163.977	27.71	164.227	30.98
164.478	27.71	164.728	30.98
164.978	27.60	165.229	30.87
165.478	27.60	165.729	30.98
165.979	27.60	166.230	30.87
166.480	27.60	166.731	30.87
166.981	27.60	167.232	30.87
