#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 17 11:40:47 2022
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
97.384	35.22	97.634	31.09
97.885	35.22	98.135	31.20
98.386	35.11	98.636	31.20
98.887	35.11	99.136	31.09
99.387	35.11	99.637	31.09
99.888	35.11	100.138	31.09
100.389	35.11	100.639	31.09
100.889	35.11	101.139	30.98
101.390	35.00	101.640	31.09
101.891	35.00	102.141	30.98
102.392	35.00	102.642	31.09
102.892	35.00	103.142	31.09
103.393	34.89	103.643	30.98
103.893	35.00	104.144	30.98
104.394	34.89	104.644	30.98
104.894	34.89	105.145	30.98
105.395	34.89	105.646	30.98
105.896	34.89	106.147	30.87
106.397	34.89	106.647	30.98
106.897	34.77	107.148	30.98
107.398	34.77	107.649	30.98
107.899	34.77	108.150	30.98
108.399	34.77	108.650	30.87
108.900	34.77	109.151	30.98
109.401	34.77	109.651	30.98
109.902	34.66	110.152	30.87
110.402	34.66	110.652	30.87
110.903	34.66	111.153	30.98
111.404	34.66	111.654	30.87
111.905	34.66	112.154	30.98
112.405	34.66	112.655	30.98
112.906	34.55	113.156	30.87
113.407	34.66	113.657	30.76
113.908	34.55	114.157	30.65
114.408	34.33	114.658	30.65
114.909	34.11	115.159	30.55
115.410	34.11	115.660	30.55
115.909	34.00	116.160	30.55
116.410	33.89	116.661	30.44
116.911	33.89	117.162	30.55
117.412	33.78	117.663	30.44
117.912	33.78	118.163	30.33
118.413	33.78	118.664	30.33
118.914	33.67	119.165	30.33
119.415	33.67	119.666	30.33
119.915	33.67	120.166	30.22
120.416	33.67	120.667	30.33
120.917	33.56	121.168	30.33
121.418	33.56	121.667	30.22
121.918	33.56	122.168	30.22
122.419	33.56	122.669	30.33
122.920	33.56	123.170	30.22
123.421	33.56	123.670	30.22
123.921	33.45	124.171	30.11
124.422	33.56	124.672	30.22
124.923	33.45	125.173	30.22
125.423	33.45	125.673	30.11
125.924	33.45	126.174	30.22
126.425	33.45	126.675	30.22
126.926	33.45	127.176	30.11
127.426	33.45	127.676	30.11
127.926	33.45	128.177	30.11
128.427	33.45	128.678	30.11
128.928	33.45	129.178	30.11
129.428	33.45	129.679	30.11
129.929	33.45	130.180	30.11
130.430	33.34	130.681	30.11
130.931	33.45	131.181	30.11
131.431	33.45	131.682	30.11
131.932	33.45	132.183	30.11
132.433	33.45	132.684	30.11
132.933	33.34	133.184	30.11
133.434	33.45	133.685	30.11
133.935	33.34	134.186	30.11
134.436	33.45	134.686	30.11
134.936	33.45	135.186	30.11
135.437	33.45	135.687	30.00
135.938	33.45	136.188	30.11
136.439	33.45	136.688	30.00
136.939	33.34	137.189	30.00
137.440	33.34	137.690	30.11
137.941	33.34	138.191	30.11
138.442	33.34	138.691	30.11
138.942	33.34	139.192	30.00
139.443	33.34	139.693	30.00
139.944	33.34	140.194	29.90
140.445	33.12	140.694	29.68
140.944	33.01	141.195	29.68
141.445	32.90	141.696	29.68
141.946	32.90	142.197	29.68
142.446	32.79	142.697	29.68
142.947	32.68	143.198	29.79
143.448	32.68	143.699	29.79
143.949	32.68	144.200	29.79
144.449	32.57	144.700	29.68
144.950	32.57	145.201	29.68
145.451	32.57	145.702	29.68
145.952	32.57	146.202	29.57
146.452	32.57	146.702	29.68
146.953	32.46	147.203	29.68
147.454	32.46	147.704	29.57
147.955	32.46	148.204	29.57
148.455	32.46	148.705	29.57
148.956	32.46	149.206	29.57
149.457	32.46	149.707	29.57
149.957	32.46	150.207	29.57
150.458	32.36	150.708	29.57
150.959	32.46	151.209	29.57
151.460	32.46	151.710	29.57
151.960	32.46	152.210	29.57
152.461	32.36	152.711	29.57
152.961	32.36	153.212	29.47
153.462	32.46	153.712	29.47
153.962	32.36	154.213	29.47
154.463	32.36	154.714	29.57
154.964	32.36	155.215	29.57
155.465	32.36	155.715	29.47
155.965	32.36	156.216	29.57
156.466	32.46	156.717	29.57
156.967	32.46	157.218	29.57
157.468	32.36	157.718	29.47
157.968	32.36	158.219	29.57
158.469	32.36	158.719	29.47
158.970	32.46	159.220	29.47
159.470	32.36	159.720	29.47
159.971	32.36	160.221	29.47
160.472	32.46	160.722	29.47
160.973	32.36	161.223	29.47
161.473	32.36	161.723	29.47
161.974	32.46	162.224	29.57
162.475	32.46	162.725	29.36
162.976	32.25	163.225	29.25
163.476	32.14	163.726	29.25
163.977	31.92	164.227	29.25
164.478	31.82	164.728	29.25
164.979	31.71	165.228	29.14
165.478	31.60	165.729	29.14
165.979	31.60	166.230	29.14
166.480	31.49	166.731	29.14
166.980	31.49	167.231	29.04
167.481	31.49	167.732	29.14
167.982	31.49	168.233	29.14
168.483	31.49	168.734	29.04
168.983	31.39	169.234	29.04
169.484	31.39	169.735	29.14
169.985	31.49	170.236	29.14
170.486	31.39	170.736	29.04
170.986	31.28	171.237	29.04
171.487	31.28	171.737	29.14
171.988	31.28	172.238	29.14
172.489	31.28	172.738	29.14
172.989	31.28	173.239	29.04
173.490	31.28	173.740	29.04
173.991	31.28	174.241	29.04
174.492	31.28	174.741	29.04
174.992	31.28	175.242	29.04
175.493	31.17	175.743	29.04
175.994	31.28	176.244	29.04
176.494	31.28	176.744	29.25
176.995	31.07	177.245	29.14
177.496	31.17	177.746	29.04
177.996	31.28	178.247	29.04
178.496	31.28	178.747	29.04
178.997	31.17	179.248	29.04
179.498	31.28	179.749	29.04
179.999	31.28	180.249	29.04
180.499	31.17	180.750	29.04
181.000	31.28	181.251	29.04
181.501	31.28	181.752	29.04
182.002	31.28	182.252	29.04
182.502	31.28	182.753	29.04
183.003	31.17	183.254	29.04
183.504	31.28	183.755	28.93
184.004	31.28	184.254	29.04
184.505	31.28	184.755	29.04
185.006	31.28	185.256	29.04
185.507	31.28	185.757	29.04
186.007	31.28	186.257	29.04
186.508	31.28	186.758	29.04
187.009	31.28	187.259	29.14
187.510	31.28	187.759	29.04
188.010	31.28	188.260	29.04
188.511	31.28	188.761	29.14
189.012	31.28	189.262	29.14
189.513	31.28	189.762	29.14
190.013	31.28	190.263	29.14
190.514	31.28	190.764	29.14
191.014	31.28	191.265	29.14
191.514	31.17	191.765	29.04
192.015	31.28	192.266	29.14
192.516	31.28	192.767	29.14
193.017	31.28	193.268	29.04
193.517	31.28	193.768	28.93
194.018	31.17	194.269	28.82
194.519	31.07	194.770	28.82
195.020	30.96	195.271	28.82
195.520	30.85	195.771	28.82
196.021	30.75	196.272	28.82
196.522	30.64	196.773	28.71
197.023	30.85	197.272	28.71
197.523	30.64	197.773	28.71
198.024	30.53	198.274	28.61
198.525	30.43	198.775	28.71
199.026	30.53	199.275	28.71
199.526	30.43	199.776	28.71
200.027	30.43	200.277	28.61
200.528	30.32	200.778	28.61
201.028	30.32	201.278	28.61
201.529	30.32	201.779	28.61
202.030	30.32	202.280	28.61
202.531	30.32	202.781	28.50
203.031	30.22	203.281	28.61
203.531	30.22	203.782	28.61
204.032	30.22	204.283	28.50
204.533	30.22	204.783	28.50
205.033	30.22	205.284	28.61
205.534	30.22	205.785	28.50
206.035	30.11	206.286	28.61
206.536	30.22	206.786	28.50
207.036	30.11	207.287	28.50
207.537	30.11	207.788	28.61
208.038	30.11	208.289	28.50
208.538	30.11	208.789	28.50
209.039	30.11	209.290	28.61
209.540	30.01	209.790	28.50
210.041	30.11	210.291	28.50
210.541	30.11	210.791	28.61
211.042	30.01	211.292	28.50
211.543	30.11	211.793	28.61
212.044	30.01	212.293	28.50
212.544	30.01	212.794	28.50
213.045	30.01	213.295	28.50
213.546	30.01	213.796	28.61
214.047	30.01	214.296	28.61
214.547	30.01	214.797	28.50
215.048	30.01	215.298	28.61
215.549	30.01	215.799	28.50
216.048	30.01	216.299	28.39
216.549	29.79	216.800	28.39
217.050	29.69	217.301	28.29
217.551	29.58	217.802	28.39
218.051	29.48	218.302	28.29
218.552	29.37	218.803	28.29
219.053	29.27	219.304	28.18
219.554	29.27	219.805	28.18
220.054	29.27	220.305	28.18
220.555	29.27	220.806	28.18
221.056	29.27	221.307	28.18
221.557	29.27	221.806	28.18
222.057	29.16	222.307	28.08
222.558	29.27	222.808	28.18
223.059	29.16	223.309	28.08
223.560	29.27	223.809	28.18
224.060	29.16	224.310	28.18
224.561	29.06	224.811	28.08
